RECTYPE,LEA,ESTAB,URN,SCHNAME,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8PUP,TP8ADJ,P8MEA,P8CILOW,P8CIUPP,P8MEA_ORIG,P8CILOW_ORIG,P8CIUPP_ORIG,PTL2BASICS_94,PTL2BASICS_95,EBACCAPS,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING
2,815,6034,142911,Cambian Spring Hill,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,815,6041,112456,Cedar House School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,6022,121752,Cundall Manor School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,4001,142061,EBOR Academy Filey,0,AC,69,34.1,68,1,-0.84,-1.15,-0.54,-0.84,-1.15,-0.53,44.9%,15.9%,2.84,24.6%,8.7%,4.3%,36.2%,5
1,815,4608,121716,Ermysted's Grammar School,0,VA,110,71.4,106,0,0.65,0.41,0.9,0.65,0.4,0.9,99.1%,95.5%,6.62,51.8%,50.9%,50.0%,98.2%,1
1,815,4041,121668,Eskdale School,0,CY,91,41,88,0,-0.16,-0.43,0.11,-0.16,-0.43,0.11,52.7%,31.9%,3.54,25.3%,17.6%,9.9%,49.5%,3
1,815,6037,131124,The Faculty of Queen Ethelburga's,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,815,6044,145241,Fenton Grange School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,815,7030,121780,Forest Moor School,0,CYS,6,3.2,6,0,-2.34,-3.36,-1.31,-2.34,-3.38,-1.29,0.0%,0.0%,0.14,0.0%,0.0%,0.0%,0.0%,5
2,815,7022,121775,The Forest School,0,CYS,10,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,815,6004,121733,Fyling Hall School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,4069,121674,George Pindar School,1,FD,120,30.7,120,0,-1.03,-1.26,-0.8,-1.03,-1.26,-0.79,37.5%,18.3%,2.59,12.5%,5.0%,4.2%,32.5%,5
1,815,4008,146819,George Pindar School,0,AC
1,815,6011,121740,Giggleswick School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,4070,121675,Graham School,1,CY,188,35.4,180,6,-0.69,-0.87,-0.5,-0.69,-0.88,-0.5,41.0%,21.8%,3.06,22.9%,13.3%,12.2%,34.0%,5
1,815,4007,146769,Graham School,0,AC
1,815,4200,136497,Harrogate Grammar School,0,ACC,254,55,233,5,0.27,0.1,0.43,0.26,0.09,0.43,81.1%,61.0%,5.18,72.0%,51.6%,39.4%,76.8%,2
1,815,4219,138190,Harrogate High School,0,ACC,82,38.5,74,1,-0.58,-0.88,-0.29,-0.58,-0.88,-0.29,51.2%,35.4%,3.33,20.7%,13.4%,7.3%,47.6%,5
1,815,6012,121741,Harrogate Ladies' College,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,4610,121718,"Holy Family Catholic High School, Carlton",0,VA,89,43.9,87,1,-0.29,-0.56,-0.02,-0.3,-0.57,-0.02,60.7%,44.9%,3.52,7.9%,6.7%,4.5%,59.6%,4
1,815,4202,121687,King James's School,0,CY,258,52.4,252,2,0.4,0.24,0.56,0.39,0.23,0.55,79.1%,58.5%,4.54,28.3%,24.0%,17.1%,75.2%,2
1,815,4054,121671,Lady Lumley's School,0,CY,121,50,118,0,0.27,0.04,0.51,0.27,0.04,0.51,69.4%,47.1%,4.58,55.4%,41.3%,28.9%,66.9%,2
1,815,4077,121681,Malton School,0,CY,108,49,107,0,0.24,0,0.48,0.24,-0.01,0.49,63.0%,39.8%,4.3,30.6%,21.3%,12.0%,61.1%,3
2,815,7029,121779,Mowbray School,0,CYS,25,2.5,25,0,-1.49,-2,-0.99,-1.49,-2,-0.98,4.0%,0.0%,0.05,0.0%,0.0%,0.0%,0.0%,5
1,815,4223,121700,Nidderdale High School,0,CY,63,42.2,59,1,-0.15,-0.48,0.17,-0.16,-0.49,0.18,55.6%,33.3%,3.58,33.3%,23.8%,19.0%,54.0%,3
1,815,4074,121678,Northallerton School & Sixth Form College,1,VC,164,44.6,163,2,-0.21,-0.41,-0.01,-0.22,-0.42,-0.02,61.6%,42.1%,3.95,37.2%,22.0%,14.0%,56.1%,4
1,815,4009,146969,Northallerton School & Sixth Form College,0,AC
1,815,4152,136728,Norton College,0,ACC,127,43.7,125,1,-0.13,-0.35,0.1,-0.13,-0.36,0.1,62.2%,37.0%,3.79,40.9%,22.8%,9.4%,56.7%,3
1,815,4006,144976,Outwood Academy Easingwold,0,AC,140,55.4,138,1,0.5,0.29,0.72,0.5,0.28,0.72,86.4%,67.9%,5.11,46.4%,44.3%,36.4%,77.9%,1
1,815,4203,137412,Outwood Academy Ripon,0,ACC,106,49,99,0,0.71,0.46,0.96,0.71,0.45,0.97,79.2%,55.7%,3.95,12.3%,9.4%,8.5%,75.5%,1
1,815,6014,121743,Queen Ethelburga's College,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
